Year,Smoking rate,small
0,54,yes
1,53,
2,60,
3,64,
4,66,
5,70,
6,86,
7,99,
8,105,
9,125,
10,151,
11,173,
12,223,
13,260,
14,267,
15,285,yes
16,395,
17,551,
18,697,
19,727,
20,665,
21,742,
22,770,
23,911,
24,982,
25,1085,
26,1191,
27,1279,
28,1366,
29,1504,
30,1485,yes
31,1399,
32,1245,
33,1334,
34,1483,
35,1564,
36,1754,
37,1847,
38,1830,
39,1900,
40,1976,yes
41,2236,
42,2585,
43,2956,
44,3039,
45,3449,
46,3446,
47,3416,
48,3505,
49,3480,
50,3552,yes
51,3744,
52,3886,
53,3778,
54,3546,
55,3597,
56,3650,
57,3755,
58,3953,
59,4073,
60,4171,
61,4266,
62,4266,
63,4345,
64,4194,
65,4258,yes
66,4287,
67,4280,
68,4186,
69,3993,
70,3985,
71,4037,
72,4043,
73,4148,
74,4141,
75,4122,yes
76,4091,
77,4043,
78,3970,
79,3861,
80,3849,
81,3836,
82,3739,
83,3488,
84,3446,
85,3370,
86,3274,
87,3197,
88,3096,
89,2926,
90,2834,yes
91,2727,
92,2647,
93,2543,
94,2524,
95,2474,
96,2445,
97,2422,
98,2275,
99,2101,
100,2049,yes
101,2051,
102,1982,
103,1890,
104,1814,
105,1716,
106,1619,yes
